AUN,LEA Name,LEA Type,County,Race,Year,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
100510000,First Philadelphia Preparatory Charter S,CS,Philadelphia,American Indian / Alaskan Native,,0,0,0,0,0,0,0,0,*,*,*,0,0,0,0,*,0,0,0,0,0,*
100510000,First Philadelphia Preparatory Charter S,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,*,0,0,0,44
100510000,First Philadelphia Preparatory Charter S,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,63,70,65,76,56,45,33,35,34,54,0,0,0,531
100510000,First Philadelphia Preparatory Charter S,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,46,38,38,37,45,26,20,20,26,37,0,0,0,333
100510000,First Philadelphia Preparatory Charter S,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,24,13,18,13,11,11,*,*,*,*,0,0,0,105
100510000,First Philadelphia Preparatory Charter S,CS,Philadelphia,Native Hawaiian or other Pacific Islander(not hispanic),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,*,0,0,0,*
100510000,First Philadelphia Preparatory Charter S,CS,Philadelphia,White,,0,0,0,0,0,0,0,0,28,34,33,30,37,19,23,18,32,14,0,0,0,268
126510021,Folk Arts-Cultural Treasures CS,CS,Philadelphia,Asian,,0,0,0,0,0,0,0,0,26,31,28,37,38,42,37,38,36,0,0,0,0,313
126510021,Folk Arts-Cultural Treasures CS,CS,Philadelphia,Black or African American,,0,0,0,0,0,0,0,0,11,*,13,*,10,*,13,12,16,0,0,0,0,100
126510021,Folk Arts-Cultural Treasures CS,CS,Philadelphia,Hispanic,,0,0,0,0,0,0,0,0,*,*,*,*,0,*,*,*,0,0,0,0,0,19
126510021,Folk Arts-Cultural Treasures CS,CS,Philadelphia,Multi-Racial,,0,0,0,0,0,0,0,0,*,*,*,*,*,*,*,*,*,0,0,0,0,39
