AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,EUG,007,008,009,010,011,012,SUG,Total
126515001,Philadelphia City SD,SD,Philadelphia,7256,Adaire Alexander Sch,M,0,0,0,0,0,0,0,0,26,27,24,20,22,18,30,0,24,23,0,0,0,0,0,214
126515001,Philadelphia City SD,SD,Philadelphia,3617,Alcorn James Sch,F,0,0,0,0,0,0,0,0,38,37,30,31,28,24,38,0,32,30,0,0,0,0,0,288
126515001,Philadelphia City SD,SD,Philadelphia,3617,Alcorn James Sch,M,0,0,0,0,0,0,0,0,29,30,34,41,37,30,27,0,24,23,0,0,0,0,0,275
126515001,Philadelphia City SD,SD,Philadelphia,5292,Allen Dr Ethel Sch,F,0,0,10,0,0,0,0,0,26,31,31,33,33,21,24,0,0,0,0,0,0,0,0,209
126515001,Philadelphia City SD,SD,Philadelphia,5292,Allen Dr Ethel Sch,M,0,0,9,0,0,0,0,0,28,26,37,31,33,24,16,0,0,0,0,0,0,0,0,204
126515001,Philadelphia City SD,SD,Philadelphia,3758,Allen Ethan Sch,F,0,0,0,0,0,0,0,0,49,58,52,49,38,53,47,0,57,50,0,0,0,0,0,453
126515001,Philadelphia City SD,SD,Philadelphia,3758,Allen Ethan Sch,M,0,0,0,0,0,0,0,0,51,54,51,57,46,52,49,0,45,62,0,0,0,0,0,467
126515001,Philadelphia City SD,SD,Philadelphia,6823,Amy At Martin,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,80,91,0,0,0,0,0,214
126515001,Philadelphia City SD,SD,Philadelphia,6823,Amy At Martin,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,67,78,0,0,0,0,0,182
126515001,Philadelphia City SD,SD,Philadelphia,7024,Amy NW,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,52,73,0,0,0,0,0,147
