AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,007,008,009,010,011,012,Total
126515001,Philadelphia City SD,SD,Philadelphia,7851,Kensington Intern Business Finance & En,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,46,54,35,226
126515001,Philadelphia City SD,SD,Philadelphia,8143,Kensington Urban Education Academy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,39,29,43,156
126515001,Philadelphia City SD,SD,Philadelphia,8143,Kensington Urban Education Academy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,49,39,28,157
126515001,Philadelphia City SD,SD,Philadelphia,7228,Key Francis Scott Sch,F,0,0,0,0,0,0,0,0,36,35,51,31,44,38,33,0,0,0,0,0,0,268
126515001,Philadelphia City SD,SD,Philadelphia,7228,Key Francis Scott Sch,M,0,0,0,0,0,0,0,0,44,48,39,32,35,20,49,0,0,0,0,0,0,267
126515001,Philadelphia City SD,SD,Philadelphia,6675,King Martin Luther HS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,110,108,118,433
126515001,Philadelphia City SD,SD,Philadelphia,6675,King Martin Luther HS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,165,178,142,633
126515001,Philadelphia City SD,SD,Philadelphia,3647,Kirkbride Eliza B Sch,F,0,0,16,0,0,0,0,0,35,37,25,30,27,34,20,28,24,0,0,0,0,276
126515001,Philadelphia City SD,SD,Philadelphia,3647,Kirkbride Eliza B Sch,M,0,0,15,0,0,0,0,0,25,33,33,30,42,36,28,24,20,0,0,0,0,286
126515001,Philadelphia City SD,SD,Philadelphia,6825,La Brum Gen J Harry MS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,33,19,0,0,0,0,91
126515001,Philadelphia City SD,SD,Philadelphia,6825,La Brum Gen J Harry MS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,46,34,0,0,0,0,115
126515001,Philadelphia City SD,SD,Philadelphia,3670,Lamberton Robert E Sch,F,0,0,0,0,0,0,0,0,18,28,20,26,21,18,27,24,25,0,0,0,0,207
126515001,Philadelphia City SD,SD,Philadelphia,3670,Lamberton Robert E Sch,M,0,0,0,0,0,0,0,0,35,25,31,34,28,27,35,54,40,0,0,0,0,309
126515001,Philadelphia City SD,SD,Philadelphia,7811,Lankenau HS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,55,52,24,159
126515001,Philadelphia City SD,SD,Philadelphia,7811,Lankenau HS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,48,41,28,156
126515001,Philadelphia City SD,SD,Philadelphia,3744,Lawton Henry W Sch,F,0,0,1,0,0,0,0,0,53,67,58,63,48,57,0,0,0,0,0,0,0,347
126515001,Philadelphia City SD,SD,Philadelphia,3744,Lawton Henry W Sch,M,0,0,3,0,0,0,0,0,70,65,56,66,54,43,0,0,0,0,0,0,0,357
126515001,Philadelphia City SD,SD,Philadelphia,6530,Lea Henry C Sch,F,0,0,17,0,0,0,0,0,42,30,38,22,31,25,19,19,8,0,0,0,0,251
126515001,Philadelphia City SD,SD,Philadelphia,6530,Lea Henry C Sch,M,0,0,21,0,0,0,0,0,45,53,43,38,52,29,29,27,13,0,0,0,0,350
126515001,Philadelphia City SD,SD,Philadelphia,8295,Leeds Morris E MS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,36,67,0,0,0,0,145
126515001,Philadelphia City SD,SD,Philadelphia,8295,Leeds Morris E MS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,75,80,0,0,0,0,229
126515001,Philadelphia City SD,SD,Philadelphia,3845,Lincoln HS,F,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,171,180,153,727
126515001,Philadelphia City SD,SD,Philadelphia,3845,Lincoln HS,M,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,235,232,155,887
126515001,Philadelphia City SD,SD,Philadelphia,3717,Lingelbach Anna L Sch,F,0,0,0,0,0,0,0,0,16,19,22,22,22,17,27,22,28,0,0,0,0,195
126515001,Philadelphia City SD,SD,Philadelphia,3717,Lingelbach Anna L Sch,M,0,0,0,0,0,0,0,0,20,28,27,19,25,33,17,21,28,0,0,0,0,218
126515001,Philadelphia City SD,SD,Philadelphia,4732,Locke Alain Sch,F,0,0,0,0,0,0,0,0,29,26,36,38,26,17,27,22,18,0,0,0,0,239
126515001,Philadelphia City SD,SD,Philadelphia,4732,Locke Alain Sch,M,0,0,0,0,0,0,0,0,33,38,38,29,20,28,24,23,13,0,0,0,0,246
126515001,Philadelphia City SD,SD,Philadelphia,4961,Loesche William H Sch,F,0,0,5,0,0,0,0,0,58,64,64,63,72,62,0,0,0,0,0,0,0,388
126515001,Philadelphia City SD,SD,Philadelphia,4961,Loesche William H Sch,M,0,0,7,0,0,0,0,0,90,73,64,70,58,69,0,0,0,0,0,0,0,431
126515001,Philadelphia City SD,SD,Philadelphia,3718,Logan James Sch,F,0,0,14,0,0,0,0,0,30,28,25,12,26,20,0,0,0,0,0,0,0,155
