AUN,LEA Name,LEA Type,County,School Number,School Name,Student Gender Code,PKA,PKP,PKF,K4A,K4P,K4F,K5A,K5P,K5F,001,002,003,004,005,006,EUG,007,008,009,010,011,012,SUG,Student ID
126513420,New Foundations CS,CS,Philadelphia,7649,New Foundations CS,F,0,0,0,0,0,0,0,0,35,34,39,41,41,42,35,0,44,42,97,52,54,0,0,556
126513420,New Foundations CS,CS,Philadelphia,7649,New Foundations CS,M,0,0,0,0,0,0,0,0,31,43,37,33,37,36,41,0,35,34,72,60,52,0,0,511
126510018,New Media Technology CS,CS,Philadelphia,7829,New Media Technology CS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,26,22,44,41,28,29,0,200
126510018,New Media Technology CS,CS,Philadelphia,7829,New Media Technology CS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,21,24,33,49,34,29,0,205
126510019,Northwood Academy CS,CS,Philadelphia,7856,Northwood Academy CS,F,0,0,0,0,0,0,0,0,50,45,52,36,50,49,49,0,40,42,0,0,0,0,0,413
126510019,Northwood Academy CS,CS,Philadelphia,7856,Northwood Academy CS,M,0,0,0,0,0,0,0,0,42,44,44,53,40,36,38,0,37,33,0,0,0,0,0,367
126513452,Olney Charter High School,CS,Philadelphia,8205,Olney Charter High School,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,249,170,110,0,760
126513452,Olney Charter High School,CS,Philadelphia,8205,Olney Charter High School,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,308,215,122,0,968
173515368,Pan American Academy CS,CS,Philadelphia,7985,Pan American Academy CS,F,0,0,0,0,0,0,0,0,56,68,46,44,36,42,40,0,34,22,0,0,0,0,0,388
173515368,Pan American Academy CS,CS,Philadelphia,7985,Pan American Academy CS,M,0,0,0,0,0,0,0,0,70,57,31,31,21,43,37,0,21,26,0,0,0,0,0,337
126510004,People for People CS,CS,Philadelphia,7685,People for People CS,F,0,0,0,0,0,0,0,0,40,50,43,30,33,33,27,0,22,27,0,0,0,0,0,305
126510004,People for People CS,CS,Philadelphia,7685,People for People CS,M,0,0,0,0,0,0,0,0,30,41,31,26,26,24,22,0,20,20,0,0,0,0,0,240
126513280,Philadelphia Academy CS,CS,Philadelphia,7587,Philadelphia Academy CS,F,0,0,0,0,0,0,0,0,37,37,29,47,36,34,43,0,40,42,49,62,46,57,0,559
126513280,Philadelphia Academy CS,CS,Philadelphia,7587,Philadelphia Academy CS,M,0,0,0,0,0,0,0,0,31,33,40,23,36,36,55,0,52,47,78,63,61,68,0,623
126515001,Philadelphia City SD,SD,Philadelphia,7904,Academy at Palumbo,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,132,111,74,0,418
126515001,Philadelphia City SD,SD,Philadelphia,7904,Academy at Palumbo,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,76,64,55,0,298
126515001,Philadelphia City SD,SD,Philadelphia,7256,Adaire Alexander Sch,F,0,0,0,0,0,0,0,0,16,19,23,13,33,32,23,0,19,19,0,0,0,0,0,197
126515001,Philadelphia City SD,SD,Philadelphia,7256,Adaire Alexander Sch,M,0,0,0,0,0,0,0,0,14,22,26,24,23,27,20,0,19,32,0,0,0,0,0,207
126515001,Philadelphia City SD,SD,Philadelphia,3617,Alcorn James Sch,F,0,0,0,0,0,0,0,0,21,32,33,32,24,17,24,0,18,26,0,0,0,0,0,227
126515001,Philadelphia City SD,SD,Philadelphia,3617,Alcorn James Sch,M,0,0,0,0,0,0,0,0,33,41,30,29,27,28,29,0,22,32,0,0,0,0,0,271
126515001,Philadelphia City SD,SD,Philadelphia,5292,Allen Dr Ethel Sch,F,0,0,9,0,0,0,0,0,31,28,32,28,27,20,22,0,22,15,0,0,0,0,0,234
126515001,Philadelphia City SD,SD,Philadelphia,5292,Allen Dr Ethel Sch,M,0,0,9,0,0,0,0,0,32,34,31,23,40,20,28,0,27,15,0,0,0,0,0,259
126515001,Philadelphia City SD,SD,Philadelphia,3758,Allen Ethan Sch,F,0,0,0,0,0,0,0,0,51,50,48,56,44,42,32,0,54,46,0,0,0,0,0,423
126515001,Philadelphia City SD,SD,Philadelphia,3758,Allen Ethan Sch,M,0,0,0,0,0,0,0,0,42,44,46,43,53,58,49,0,46,52,0,0,0,0,0,433
126515001,Philadelphia City SD,SD,Philadelphia,6823,Amy At Martin,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,69,73,0,0,0,0,0,212
126515001,Philadelphia City SD,SD,Philadelphia,6823,Amy At Martin,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,71,60,0,0,0,0,0,185
126515001,Philadelphia City SD,SD,Philadelphia,7024,Amy NW,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,56,39,0,0,0,0,0,141
126515001,Philadelphia City SD,SD,Philadelphia,7024,Amy NW,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,48,38,0,0,0,0,0,129
126515001,Philadelphia City SD,SD,Philadelphia,3804,Anderson Add B Sch,F,0,0,9,0,0,0,0,0,40,34,37,32,25,25,25,0,23,23,0,0,0,0,0,273
126515001,Philadelphia City SD,SD,Philadelphia,3804,Anderson Add B Sch,M,0,0,11,0,0,0,0,0,38,40,33,31,35,33,35,0,31,37,0,0,0,0,0,324
126515001,Philadelphia City SD,SD,Philadelphia,3805,Arthur Chester A Sch,F,0,0,0,0,0,0,0,0,13,11,13,18,8,13,12,0,11,9,0,0,0,0,0,108
126515001,Philadelphia City SD,SD,Philadelphia,3805,Arthur Chester A Sch,M,0,0,0,0,0,0,0,0,18,10,9,11,15,9,6,0,9,13,0,0,0,0,0,100
126515001,Philadelphia City SD,SD,Philadelphia,8039,Arts Academy at Benjamin Rush,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,103,81,83,0,399
126515001,Philadelphia City SD,SD,Philadelphia,8039,Arts Academy at Benjamin Rush,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,34,31,37,0,155
126515001,Philadelphia City SD,SD,Philadelphia,3618,Bache-Martin Sch,F,0,0,20,0,0,0,0,0,25,17,22,24,19,27,27,0,17,28,0,0,0,0,0,226
126515001,Philadelphia City SD,SD,Philadelphia,3618,Bache-Martin Sch,M,0,0,17,0,0,0,0,0,30,20,16,18,17,21,21,0,14,23,0,0,0,0,0,197
126515001,Philadelphia City SD,SD,Philadelphia,6824,Baldi C C A MS,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,218,177,0,0,0,0,0,560
126515001,Philadelphia City SD,SD,Philadelphia,6824,Baldi C C A MS,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,224,218,0,0,0,0,0,666
126515001,Philadelphia City SD,SD,Philadelphia,8029,Barry Comm John Sch,F,0,0,21,0,0,0,0,0,57,56,54,46,50,39,45,0,46,37,0,0,0,0,0,451
126515001,Philadelphia City SD,SD,Philadelphia,8029,Barry Comm John Sch,M,0,0,14,0,0,0,0,0,62,61,40,49,45,37,38,0,25,30,0,0,0,0,0,401
126515001,Philadelphia City SD,SD,Philadelphia,3732,Barton Clara Sch,F,0,0,0,0,0,0,0,0,138,144,124,0,0,0,0,0,0,0,0,0,0,0,0,406
126515001,Philadelphia City SD,SD,Philadelphia,3732,Barton Clara Sch,M,0,0,0,0,0,0,0,0,132,128,126,0,0,0,0,0,0,0,0,0,0,0,0,386
